PlanID,RepID,PhysicianID,TargetCalls,MonthYear
PLAN00001,REP001,PHY0003,2,2026-06
PLAN00002,REP001,PHY0006,3,2026-06
PLAN00003,REP001,PHY0005,3,2026-06
PLAN00004,REP001,PHY0002,4,2026-06
PLAN00005,REP001,PHY0007,4,2026-06
PLAN00006,REP002,PHY0010,2,2026-06
PLAN00007,REP002,PHY0011,4,2026-06
PLAN00008,REP002,PHY0008,3,2026-06
PLAN00009,REP002,PHY0012,4,2026-06
PLAN00010,REP003,PHY0016,4,2026-06
PLAN00011,REP003,PHY0019,4,2026-06
PLAN00012,REP003,PHY0018,4,2026-06
PLAN00013,REP003,PHY0017,2,2026-06
PLAN00014,REP003,PHY0013,3,2026-06
PLAN00015,REP005,PHY0030,3,2026-06
PLAN00016,REP005,PHY0029,3,2026-06
PLAN00017,REP005,PHY0027,2,2026-06
PLAN00018,REP005,PHY0031,3,2026-06
PLAN00019,REP006,PHY0036,4,2026-06
PLAN00020,REP006,PHY0037,3,2026-06
PLAN00021,REP006,PHY0034,2,2026-06
PLAN00022,REP006,PHY0035,2,2026-06
PLAN00023,REP007,PHY0040,3,2026-06
PLAN00024,REP007,PHY0042,4,2026-06
PLAN00025,REP007,PHY0038,2,2026-06
PLAN00026,REP007,PHY0041,3,2026-06
PLAN00027,REP008,PHY0044,4,2026-06
PLAN00028,REP008,PHY0043,3,2026-06
PLAN00029,REP008,PHY0049,4,2026-06
PLAN00030,REP008,PHY0048,3,2026-06
PLAN00031,REP008,PHY0045,2,2026-06
PLAN00032,REP010,PHY0058,2,2026-06
PLAN00033,REP010,PHY0057,4,2026-06
PLAN00034,REP010,PHY0061,2,2026-06
PLAN00035,REP010,PHY0062,4,2026-06
PLAN00036,REP010,PHY0060,2,2026-06
PLAN00037,REP010,PHY0059,4,2026-06
PLAN00038,REP011,PHY0065,4,2026-06
PLAN00039,REP011,PHY0066,2,2026-06
PLAN00040,REP011,PHY0071,2,2026-06
PLAN00041,REP011,PHY0068,4,2026-06
PLAN00042,REP011,PHY0069,4,2026-06
PLAN00043,REP012,PHY0072,2,2026-06
PLAN00044,REP012,PHY0074,2,2026-06
PLAN00045,REP012,PHY0076,4,2026-06
PLAN00046,REP012,PHY0075,4,2026-06
PLAN00047,REP013,PHY0079,4,2026-06
PLAN00048,REP013,PHY0083,4,2026-06
PLAN00049,REP013,PHY0082,2,2026-06
PLAN00050,REP013,PHY0081,2,2026-06
PLAN00051,REP013,PHY0084,4,2026-06
PLAN00052,REP014,PHY0088,4,2026-06
PLAN00053,REP014,PHY0085,2,2026-06
PLAN00054,REP014,PHY0089,3,2026-06
PLAN00055,REP014,PHY0087,2,2026-06
PLAN00056,REP014,PHY0091,3,2026-06
PLAN00057,REP015,PHY0096,2,2026-06
PLAN00058,REP015,PHY0092,3,2026-06
PLAN00059,REP015,PHY0093,2,2026-06
PLAN00060,REP015,PHY0094,2,2026-06
PLAN00061,REP016,PHY0098,3,2026-06
PLAN00062,REP016,PHY0099,2,2026-06
PLAN00063,REP016,PHY0100,4,2026-06
PLAN00064,REP016,PHY0102,4,2026-06
