CallID,RepID,PhysicianID,CallDate,Status
CALL000001,REP001,PHY0003,2026-06-24,Completed
CALL000002,REP001,PHY0003,2026-06-18,Completed
CALL000003,REP001,PHY0003,2026-06-13,No Show
CALL000004,REP001,PHY0006,2026-06-14,Completed
CALL000005,REP001,PHY0006,2026-06-05,Completed
CALL000006,REP001,PHY0005,2026-06-21,Completed
CALL000007,REP001,PHY0005,2026-06-12,Completed
CALL000008,REP001,PHY0005,2026-06-20,Completed
CALL000009,REP001,PHY0002,2026-06-22,Completed
CALL000010,REP001,PHY0002,2026-06-13,Completed
CALL000011,REP001,PHY0002,2026-06-01,Completed
CALL000012,REP001,PHY0002,2026-06-21,Completed
CALL000013,REP001,PHY0002,2026-06-26,Completed
CALL000014,REP001,PHY0007,2026-06-26,Completed
CALL000015,REP001,PHY0007,2026-06-07,Completed
CALL000016,REP001,PHY0007,2026-06-10,Completed
CALL000017,REP002,PHY0010,2026-06-09,Completed
CALL000018,REP002,PHY0011,2026-06-28,Completed
CALL000019,REP002,PHY0011,2026-06-13,Completed
CALL000020,REP002,PHY0011,2026-06-22,Completed
CALL000021,REP002,PHY0008,2026-06-23,Completed
CALL000022,REP002,PHY0012,2026-06-26,Completed
CALL000023,REP002,PHY0012,2026-06-28,No Show
CALL000024,REP002,PHY0012,2026-06-06,Completed
CALL000025,REP003,PHY0016,2026-06-15,Completed
CALL000026,REP003,PHY0016,2026-06-16,Completed
CALL000027,REP003,PHY0016,2026-06-10,Completed
CALL000028,REP003,PHY0019,2026-06-16,Completed
CALL000029,REP003,PHY0019,2026-06-06,No Show
CALL000030,REP003,PHY0019,2026-06-29,Completed
CALL000031,REP003,PHY0018,2026-06-09,Completed
CALL000032,REP003,PHY0018,2026-06-25,Completed
CALL000033,REP003,PHY0018,2026-06-27,No Show
CALL000034,REP003,PHY0018,2026-06-03,Completed
CALL000035,REP003,PHY0018,2026-06-22,Completed
CALL000036,REP003,PHY0017,2026-06-14,Completed
CALL000037,REP003,PHY0017,2026-06-17,Completed
CALL000038,REP003,PHY0017,2026-06-20,Completed
CALL000039,REP003,PHY0013,2026-06-10,Completed
CALL000040,REP003,PHY0013,2026-06-11,Completed
CALL000041,REP003,PHY0013,2026-06-27,Completed
CALL000042,REP005,PHY0030,2026-06-02,No Show
CALL000043,REP005,PHY0030,2026-06-16,Completed
CALL000044,REP005,PHY0030,2026-06-15,Completed
CALL000045,REP005,PHY0029,2026-06-22,Completed
CALL000046,REP005,PHY0029,2026-06-06,Completed
CALL000047,REP005,PHY0029,2026-06-23,Completed
CALL000048,REP005,PHY0027,2026-06-03,Completed
CALL000049,REP005,PHY0027,2026-06-30,Completed
CALL000050,REP005,PHY0027,2026-06-17,Completed
CALL000051,REP005,PHY0031,2026-06-19,Completed
CALL000052,REP005,PHY0031,2026-06-05,Completed
CALL000053,REP005,PHY0031,2026-06-11,No Show
CALL000054,REP005,PHY0031,2026-06-06,Completed
CALL000055,REP006,PHY0036,2026-06-01,Completed
CALL000056,REP006,PHY0036,2026-06-24,Completed
CALL000057,REP006,PHY0036,2026-06-27,Completed
CALL000058,REP006,PHY0036,2026-06-17,Completed
CALL000059,REP006,PHY0037,2026-06-20,Completed
CALL000060,REP006,PHY0037,2026-06-14,Completed
CALL000061,REP006,PHY0037,2026-06-18,Completed
CALL000062,REP006,PHY0037,2026-06-02,Completed
CALL000063,REP006,PHY0034,2026-06-20,Completed
CALL000064,REP006,PHY0035,2026-06-25,Completed
CALL000065,REP007,PHY0040,2026-06-04,Completed
CALL000066,REP007,PHY0042,2026-06-25,Completed
CALL000067,REP007,PHY0042,2026-06-14,Completed
CALL000068,REP007,PHY0042,2026-06-18,Completed
CALL000069,REP007,PHY0042,2026-06-03,Completed
CALL000070,REP007,PHY0038,2026-06-30,Completed
CALL000071,REP007,PHY0041,2026-06-14,Completed
CALL000072,REP007,PHY0041,2026-06-19,Completed
CALL000073,REP008,PHY0044,2026-06-29,Completed
CALL000074,REP008,PHY0044,2026-06-27,Completed
CALL000075,REP008,PHY0044,2026-06-02,Completed
CALL000076,REP008,PHY0044,2026-06-25,Completed
CALL000077,REP008,PHY0044,2026-06-16,Completed
CALL000078,REP008,PHY0043,2026-06-20,Completed
CALL000079,REP008,PHY0043,2026-06-18,Completed
CALL000080,REP008,PHY0043,2026-06-10,Completed
CALL000081,REP008,PHY0049,2026-06-12,Completed
CALL000082,REP008,PHY0049,2026-06-15,Completed
CALL000083,REP008,PHY0048,2026-06-18,Completed
CALL000084,REP008,PHY0048,2026-06-23,No Show
CALL000085,REP008,PHY0045,2026-06-01,Completed
CALL000086,REP010,PHY0058,2026-06-29,No Show
