AssignmentID,RepID,TerritoryID,StartDate,EndDate
ASGN0001,REP001,TERR001,2024-03-22,
ASGN0002,REP002,TERR002,2024-06-24,
ASGN0003,REP003,TERR003,2024-07-26,
ASGN0004,REP004,TERR004,2024-06-07,2024-12-04
ASGN0005,REP005,TERR005,2024-10-04,
ASGN0006,REP006,TERR006,2024-04-17,
ASGN0007,REP007,TERR007,2024-02-26,
ASGN0008,REP008,TERR008,2024-10-23,
ASGN0009,REP009,TERR009,2024-07-07,2025-01-03
ASGN0010,REP010,TERR010,2024-11-04,
ASGN0011,REP011,TERR011,2024-08-05,
ASGN0012,REP012,TERR012,2024-08-04,
ASGN0013,REP013,TERR013,2024-06-08,
ASGN0014,REP014,TERR014,2024-04-17,
ASGN0015,REP015,TERR015,2024-04-24,
ASGN0016,REP016,TERR016,2024-03-08,
